trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Fields Kimberly A,ATI,S - Sale,2025-10-06,-21154,"-$1,735,263",$82.03,Ati Inc,"Pres, CEO, Dir",2025-10-08 07:00:49,openinsider,ceo_sales_100k,,223821,-9%,,,,,1,2025-10-14T11-58-19Z
Wirth James F,IHT,S - Sale,2025-10-06,-12500,"-$278,421,875","$22,273.80",Innsuites Hospitality Trust,"Pres, CEO, 10%",2025-10-08 06:27:07,openinsider,ceo_sales_100k,,6204296,0%,,,,,1,2025-10-14T11-58-19Z
Wirth James F,IHT,S - Sale,2025-10-07,-10000,"-$171,700,000","$17,170.00",Innsuites Hospitality Trust,"Pres, CEO, 10%",2025-10-08 06:25:14,openinsider,ceo_sales_100k,,6194296,0%,,,,,1,2025-10-14T11-58-19Z
Forbes Alexandria,MGTX,S - Sale,2025-10-07,-47500,"-$398,525",$8.39,Meiragtx Holdings Plc,"Pres, CEO",2025-10-07 21:49:34,openinsider,ceo_sales_100k,,1313983,-3%,,,,,1,2025-10-14T11-58-19Z
Mehrotra Sanjay,MU,S - Sale,2025-10-03,-37500,"-$7,142,621",$190.47,Micron Technology Inc,"Pres, CEO",2025-10-07 20:23:34,openinsider,ceo_sales_100k,M,947648,-4%,,,,,1,2025-10-14T11-58-19Z
Utzschneider Lisa,IAS,S - Sale+OE,2025-10-03,-17267,"-$175,951",$10.19,Integral Ad Science Holding Corp.,CEO,2025-10-07 18:54:40,openinsider,ceo_sales_100k,D,415293,-4%,,,,,1,2025-10-14T11-58-19Z
Benioff Marc,CRM,S - Sale+OE,2025-10-06,-2250,"-$542,974",$241.32,"Salesforce, Inc.","Chair, CEO",2025-10-07 18:51:48,openinsider,ceo_sales_100k,D,22018571,0%,,,,,1,2025-10-14T11-58-19Z
Rowe Zane,WDAY,S - Sale,2025-10-07,-6000,"-$1,395,717",$232.62,"Workday, Inc.",CFO,2025-10-07 18:48:03,openinsider,ceo_sales_100k,,168468,-3%,,,,,1,2025-10-14T11-58-19Z
Aujla Sandeep,INTU,S - Sale,2025-10-03,-1170,"-$792,160",$677.06,Intuit Inc.,"EVP, CFO",2025-10-07 18:32:52,openinsider,ceo_sales_100k,,1295,-47%,,,,,1,2025-10-14T11-58-19Z
Huang Jen Hsun,NVDA,S - Sale,2025-10-03,-225000,"-$42,050,639",$186.89,Nvidia Corp,"Pres, CEO",2025-10-07 18:28:40,openinsider,ceo_sales_100k,M,853033603,0%,,,,,1,2025-10-14T11-58-19Z
Shipchandler Khozema,TWLO,S - Sale,2025-10-03,-12922,"-$1,344,998",$104.09,Twilio Inc,CEO,2025-10-07 18:15:28,openinsider,ceo_sales_100k,,220383,-6%,,,,,1,2025-10-14T11-58-19Z
Fields Randall K,TRAK,S - Sale,2025-10-07,-7500,"-$112,283",$14.97,"Repositrak, Inc.","CEO, 10%",2025-10-07 17:57:04,openinsider,ceo_sales_100k,,5009919,0%,,,,,1,2025-10-14T11-58-19Z
Kashani Ali,SERV,S - Sale,2025-10-07,-12930,"-$194,984",$15.08,Serve Robotics Inc. /De/,CEO,2025-10-07 17:49:10,openinsider,ceo_sales_100k,,3437142,0%,,,,,1,2025-10-14T11-58-19Z
Spector David,PFSI,S - Sale,2025-10-06,-5000,"-$592,105",$118.42,"Pennymac Financial Services, Inc.","COB, CEO",2025-10-07 17:38:40,openinsider,ceo_sales_100k,,698463,-1%,,,,,1,2025-10-14T11-58-19Z
Larson Barbara A,S,S - Sale,2025-10-06,-54583,"-$989,590",$18.13,"Sentinelone, Inc.",CFO,2025-10-07 17:18:27,openinsider,ceo_sales_100k,,549498,-9%,,,,,1,2025-10-14T11-58-19Z
Rodriquez Antonio,CRNC,S - Sale,2025-10-06,-38347,"-$489,204",$12.76,Cerence Inc.,CFO,2025-10-07 17:08:57,openinsider,ceo_sales_100k,,276731,-12%,,,,,1,2025-10-14T11-58-19Z
